//===== eAthena Script =======================================
//= Map flags that disable warpto
//===== By: ==================================================
//= eAthena Dev Team
//= v 1.3
//===== Current Version: =====================================

// Guild Castles ========================
//alde_gld	mapflag	nowarpto
aldeg_cas01	mapflag	nowarpto
aldeg_cas02	mapflag	nowarpto
aldeg_cas03	mapflag	nowarpto
aldeg_cas04	mapflag	nowarpto
aldeg_cas05	mapflag	nowarpto
gefg_cas01	mapflag	nowarpto
gefg_cas02	mapflag	nowarpto
gefg_cas03	mapflag	nowarpto
gefg_cas04	mapflag	nowarpto
gefg_cas05	mapflag	nowarpto
//pay_gld	mapflag	nowarpto
payg_cas01	mapflag	nowarpto
payg_cas02	mapflag	nowarpto
payg_cas03	mapflag	nowarpto
payg_cas04	mapflag	nowarpto
payg_cas05	mapflag	nowarpto
//prt_gld	mapflag	nowarpto
prtg_cas01	mapflag	nowarpto
prtg_cas02	mapflag	nowarpto
prtg_cas03	mapflag	nowarpto
prtg_cas04	mapflag	nowarpto
prtg_cas05	mapflag	nowarpto
schg_cas01	mapflag	nowarpto
schg_cas02	mapflag	nowarpto
schg_cas03	mapflag	nowarpto
schg_cas04	mapflag	nowarpto
schg_cas05	mapflag	nowarpto
arug_cas01	mapflag	nowarpto
arug_cas02	mapflag	nowarpto
arug_cas03	mapflag	nowarpto
arug_cas04	mapflag	nowarpto
arug_cas05	mapflag	nowarpto
//Novice Guild
n_castle	mapflag	nowarpto
nguild_alde	mapflag	nowarpto
nguild_gef	mapflag	nowarpto
nguild_pay	mapflag	nowarpto
nguild_prt	mapflag	nowarpto
//Lighthalzen Bio-Lab 3F
lhz_dun03	mapflag	nowarpto
// Special Quests Places =======
ama_test	mapflag	nowarpto
gon_test	mapflag	nowarpto
que_rachel	mapflag	nowarpto
que_san04	mapflag	nowarpto
cave	mapflag	nowarpto
//Aldebaran Turbo Track ========
turbo_n_1	mapflag	nowarpto
turbo_n_4	mapflag	nowarpto
turbo_n_8	mapflag	nowarpto
turbo_n_16	mapflag	nowarpto
turbo_e_4	mapflag	nowarpto
turbo_e_8	mapflag	nowarpto
turbo_e_16	mapflag	nowarpto
// Izlude Battle Arena =========
force_1-1	mapflag	nowarpto
force_2-1	mapflag	nowarpto
force_3-1	mapflag	nowarpto
force_4-1	mapflag	nowarpto
force_5-1	mapflag	nowarpto
force_1-2	mapflag	nowarpto
force_1-3	mapflag	nowarpto
prt_are_in	mapflag	nowarpto

//Monster Races ================
p_track01	mapflag	nowarpto
p_track02	mapflag	nowarpto

// Poring War ====================
poring_w01	mapflag	nowarpto
poring_w02	mapflag	nowarpto

//Vision of Okolnir ============
que_qsch01	mapflag	nowarpto
que_qsch02	mapflag	nowarpto
que_qsch03	mapflag	nowarpto
que_qsch04	mapflag	nowarpto
que_qsch05	mapflag	nowarpto
que_qaru01	mapflag	nowarpto
que_qaru02	mapflag	nowarpto
que_qaru03	mapflag	nowarpto
que_qaru04	mapflag	nowarpto
que_qaru05	mapflag	nowarpto

//Sealed Shrine ==================
1@cata	mapflag	nowarpto
2@cata	mapflag	nowarpto

//Endless Tower ==================
e_tower	mapflag	nowarpto
1@tower	mapflag	nowarpto
2@tower	mapflag	nowarpto
3@tower	mapflag	nowarpto
4@tower	mapflag	nowarpto
5@tower	mapflag	nowarpto
6@tower	mapflag	nowarpto

// Battle Grounds ==============
bat_c01	mapflag	nowarpto
bat_c02	mapflag	nowarpto
bat_c03	mapflag	nowarpto
bat_room	mapflag	nowarpto
bat_b01	mapflag	nowarpto
bat_b02	mapflag	nowarpto
bat_a01	mapflag	nowarpto
bat_a02	mapflag	nowarpto

// Episode 13 ====================
mid_campin	mapflag	nowarpto
man_fild01	mapflag	nowarpto
man_fild03	mapflag	nowarpto
spl_fild02	mapflag	nowarpto
spl_fild03	mapflag	nowarpto
moc_fild22b	mapflag	nowarpto
que_dan01	mapflag	nowarpto
que_dan02	mapflag	nowarpto
schg_que01	mapflag	nowarpto
schg_dun01	mapflag	nowarpto
arug_que01	mapflag	nowarpto
arug_dun01	mapflag	nowarpto
nyd_dun01	mapflag	nowarpto
nyd_dun02	mapflag	nowarpto
manuk	mapflag	nowarpto
man_fild02	mapflag	nowarpto
man_in01	mapflag	nowarpto
splendide	mapflag	nowarpto
spl_fild01	mapflag	nowarpto
spl_in01	mapflag	nowarpto

//Orc's Memory ===================
1@orcs	mapflag	nowarpto
2@orcs	mapflag	nowarpto

// Nidhoggr's Instance ===========
1@nyd	mapflag	nowarpto
2@nyd	mapflag	nowarpto

// 13.3 El Discastes
dicastes01	mapflag	nowarpto
dicastes02	mapflag	nowarpto
dic_in01	mapflag	nowarpto
dic_fild01	mapflag	nowarpto
dic_fild02	mapflag	nowarpto
dic_dun01	mapflag	nowarpto
dic_dun02	mapflag	nowarpto
job3_gen01	mapflag	nowarpto
job3_sha01	mapflag	nowarpto

// 14.1 Bifrost
mora	mapflag	nowarpto
bif_fild01	mapflag	nowarpto
bif_fild02	mapflag	nowarpto
1@mist	mapflag	nowarpto

que_house_s	mapflag	nowarpto

// Malangdo Maps
1@pump	mapflag	nowarpto
2@pump	mapflag	nowarpto
1@cash	mapflag	nowarpto

// Undersea Tunnel Expansion
iz_dun05	mapflag	nowarpto

dic_dun03	mapflag	nowarpto

// Lighthalzen Dungeon F4, Wolfchev's Laboratory
1@lhz	mapflag	nowarpto
lhz_dun04	mapflag	nowarpto
que_lhz	mapflag	nowarpto

// Port Malaya
job_ko	mapflag	nowarpto
ma_scene01	mapflag	nowarpto
1@ma_b	mapflag	nowarpto
1@ma_c	mapflag	nowarpto
1@ma_h	mapflag	nowarpto
ma_zif01	mapflag	nowarpto
ma_zif02	mapflag	nowarpto
ma_zif03	mapflag	nowarpto
ma_zif04	mapflag	nowarpto
ma_zif05	mapflag	nowarpto
ma_zif06	mapflag	nowarpto
ma_zif07	mapflag	nowarpto
ma_zif08	mapflag	nowarpto
ma_zif09	mapflag	nowarpto

// 14.2 Eclage
eclage	mapflag	nowarpto
ecl_fild01	mapflag	nowarpto
ecl_tdun01	mapflag	nowarpto
ecl_tdun02	mapflag	nowarpto
ecl_tdun03	mapflag	nowarpto
ecl_tdun04	mapflag	nowarpto
que_avan01	mapflag	nowarpto
1@ecl	mapflag	nowarpto
ecl_in01	mapflag	nowarpto
ecl_in02	mapflag	nowarpto
ecl_in03	mapflag	nowarpto
ecl_in04	mapflag	nowarpto
ecl_hub01	mapflag	nowarpto

// Pyramids Basement Nightmare Mode
moc_prydn1	mapflag	nowarpto
moc_prydn2	mapflag	nowarpto

// Glast Heim Memorial Dungeon / Nightmare Mode
1@gl_k	mapflag	nowarpto
2@gl_k	mapflag	nowarpto
gl_chyard_	mapflag	nowarpto
gl_cas02_	mapflag	nowarpto

// Wave Mode Memorial Dungeon
1@def01	mapflag	nowarpto
1@def02	mapflag	nowarpto
1@def03	mapflag	nowarpto

// Heroes' Trails - Part 1
1@gef	mapflag	nowarpto
1@face	mapflag	nowarpto
1@sara	mapflag	nowarpto
1@gef_in	mapflag	nowarpto
dali	mapflag	nowarpto
