// ホムンクルス経験値テーブル
//初期4種,次期4種,進化4種,進化2次4種
50,50,50,50
110,110,110,110
180,180,180,180
260,260,260,260
350,350,350,350
630,630,630,630
950,950,950,950
1310,1310,1310,1310
1710,1710,1710,1710
2150,2150,2150,2150
3180,3180,3180,3180
4300,4300,4300,4300
5510,5510,5510,5510
6810,6810,6810,6810
8200,8200,8200,8200
10800,10800,10800,10800
13560,13560,13560,13560
16480,16480,16480,16480
19560,19560,19560,19560
22800,22800,22800,22800
28090,28090,28090,28090
33630,33630,33630,33630
39420,39420,39420,39420
45460,45460,45460,45460
51750,51750,51750,51750
61150,61150,61150,61150
70910,70910,70910,70910
81030,81030,81030,81030
91510,91510,91510,91510
102350,102350,102350,102350
117580,117580,117580,117580
133300,133300,133300,133300
149510,149510,149510,149510
166210,166210,166210,166210
183400,183400,183400,183400
206480,206480,206480,206480
230200,230200,230200,230200
254560,254560,2545600,254560
279560,279560,279560,279560
305200,305200,305200,305200
338450,338450,338450,338450
372510,372510,372510,372510
407380,407380,407380,407380
443060,443060,443060,443060
479550,479550,479550,479550
525590,525590,525590,525590
572590,572590,572590,572590
620670,620670,620670,620670
669710,669710,669710,669710
719750,719750,719750,719750
781500,781500,781500,781500
844460,844460,844460,844460
908630,908630,908630,908630
974010,974010,974010,974010
1040600,1040600,1040600,1040600
1121280,1121280,1121280,1121280
1203400,1203400,1203400,1203400
1286960,1286960,1286960,1286960
1371960,1371960,1371960,1371960
1458400,1458400,1458400,1458400
1561530,1561530,1561530,1561530
1666350,1666350,1666350,1666350
1772860,1772860,1772860,1772860
1881060,1881060,1881060,1881060
1990950,1990950,1990950,1990950
2120350,2120350,2120350,2120350
2251710,2251710,2251710,2251710
2385030,2385030,2385030,2385030
2520310,2520310,2520310,2520310
2657550,2657550,2657550,2657550
2817340,2817340,2817340,2817340
2979380,2979380,2979380,2979380
3143670,3143670,3143670,3143670
3310210,3310210,3310210,3310210
3479000,3479000,3479000,3479000
3643600,3643600,3643600,3643600
3870760,3870760,3870760,3870760
4070480,4070480,4070480,4070480
4272760,4272760,4272760,4272760
4477600,4477600,4477600,4477600
4711730,4711730,4711730,4711730
4948750,4948750,4948750,4948750
5188660,5188660,5188660,5188660
5431460,5431460,5431460,5431460
5677150,5677150,5677150,5677150
5955830,5955830,5955830,5955830
6522910,6522910,6522910,6522910
6522910,6522910,6522910,6522910
6811310,6811310,6811310,6811310
7102950,7102950,7102950,7102950
7431500,7431500,7431500,7431500
7763660,7763660,7763660,7763660
8099430,8099430,8099430,8099430
8438810,8438810,8438810,8438810
8781800,8781800,8781800,8781800
9165840,9165840,9165840,9165840
9553880,9553880,9553880,9553880
9945920,9945920,9945920,9945920
0,0,0,0
