// GROUP,Item ID1,Item ID2,Item ID3,...,Item ID20
//
1,501,502,503,504,505,506	// potions
2,507,508,509,510,511		// herbs
3,512,513,514,515,516		// fruits
4,517,528			// meat
5,529,530			// candy
6,531,532,534		// juices (removed Grape juice 533)
7,544,551			// raw fish
8,603,617,644			// boxes
9,715,716,717			// gemstones
10,909,7126			// jellopy/giant jellopy
11,756,757,998,999,1002,1003,1010,1011	// ores
//
12,512,513,514,515,516,517,528,529,530,544,551	// food types
13,501,502,503,504,505,506,507,508,509,510,511,531,532,533,534	// recovery-types
14,714,756,757,969,984,985,990,991,992,993,994,995,996,997,998,999,1002,1003,1010,1011	// minerals
